xmin,ymin,xmax,ymax,width,height,center_x,center_y,depth,state
1.318359375,0.1953125,1.3671875,0.244140625,0.048828125,0.048828125,1.3427734375,0.2197265625,10,FREE
1.26953125,0.244140625,1.318359375,0.29296875,0.048828125,0.048828125,1.2939453125,0.2685546875,10,OCCUPIED
1.318359375,0.244140625,1.3671875,0.29296875,0.048828125,0.048828125,1.3427734375,0.2685546875,10,OCCUPIED
1.171875,0.29296875,1.26953125,0.390625,0.09765625,0.09765625,1.220703125,0.341796875,9,OCCUPIED
1.26953125,0.29296875,1.3671875,0.390625,0.09765625,0.09765625,1.318359375,0.341796875,9,OCCUPIED
1.3671875,0.1953125,1.416015625,0.244140625,0.048828125,0.048828125,1.3916015625,0.2197265625,10,FREE
1.416015625,0.1953125,1.46484375,0.244140625,0.048828125,0.048828125,1.4404296875,0.2197265625,10,FREE
1.3671875,0.244140625,1.416015625,0.29296875,0.048828125,0.048828125,1.3916015625,0.2685546875,10,OCCUPIED
1.416015625,0.244140625,1.46484375,0.29296875,0.048828125,0.048828125,1.4404296875,0.2685546875,10,OCCUPIED
1.46484375,0.1953125,1.513671875,0.244140625,0.048828125,0.048828125,1.4892578125,0.2197265625,10,FREE
1.513671875,0.1953125,1.5625,0.244140625,0.048828125,0.048828125,1.5380859375,0.2197265625,10,FREE
1.46484375,0.244140625,1.513671875,0.29296875,0.048828125,0.048828125,1.4892578125,0.2685546875,10,OCCUPIED
1.513671875,0.244140625,1.5625,0.29296875,0.048828125,0.048828125,1.5380859375,0.2685546875,10,OCCUPIED
1.3671875,0.29296875,1.46484375,0.390625,0.09765625,0.09765625,1.416015625,0.341796875,9,OCCUPIED
1.46484375,0.29296875,1.5625,0.390625,0.09765625,0.09765625,1.513671875,0.341796875,9,OCCUPIED
0.78125,0.390625,1.171875,0.78125,0.390625,0.390625,0.9765625,0.5859375,7,OCCUPIED
1.171875,0.390625,1.5625,0.78125,0.390625,0.390625,1.3671875,0.5859375,7,OCCUPIED
0.0,0.78125,0.1953125,0.9765625,0.1953125,0.1953125,0.09765625,0.87890625,8,FREE
0.1953125,0.78125,0.29296875,0.87890625,0.09765625,0.09765625,0.244140625,0.830078125,9,FREE
0.29296875,0.78125,0.341796875,0.830078125,0.048828125,0.048828125,0.3173828125,0.8056640625,10,FREE
0.341796875,0.78125,0.390625,0.830078125,0.048828125,0.048828125,0.3662109375,0.8056640625,10,OCCUPIED
0.29296875,0.830078125,0.341796875,0.87890625,0.048828125,0.048828125,0.3173828125,0.8544921875,10,FREE
0.341796875,0.830078125,0.390625,0.87890625,0.048828125,0.048828125,0.3662109375,0.8544921875,10,OCCUPIED
0.1953125,0.87890625,0.29296875,0.9765625,0.09765625,0.09765625,0.244140625,0.927734375,9,FREE
0.29296875,0.87890625,0.341796875,0.927734375,0.048828125,0.048828125,0.3173828125,0.9033203125,10,FREE
0.341796875,0.87890625,0.390625,0.927734375,0.048828125,0.048828125,0.3662109375,0.9033203125,10,OCCUPIED
0.29296875,0.927734375,0.341796875,0.9765625,0.048828125,0.048828125,0.3173828125,0.9521484375,10,FREE
0.341796875,0.927734375,0.390625,0.9765625,0.048828125,0.048828125,0.3662109375,0.9521484375,10,OCCUPIED
0.0,0.9765625,0.1953125,1.171875,0.1953125,0.1953125,0.09765625,1.07421875,8,FREE
0.1953125,0.9765625,0.29296875,1.07421875,0.09765625,0.09765625,0.244140625,1.025390625,9,FREE
0.29296875,0.9765625,0.341796875,1.025390625,0.048828125,0.048828125,0.3173828125,1.0009765625,10,FREE
0.341796875,0.9765625,0.390625,1.025390625,0.048828125,0.048828125,0.3662109375,1.0009765625,10,OCCUPIED
