count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
432,216000,-8.675000,-7.075000,0.000000,0.000000,0.000000,-1.736000, 
435,217500,-8.820000,-8.194000,0.000000,0.000000,0.000000,-1.657000, 
438,219000,-8.888000,-9.330000,0.000000,0.000000,0.000000,-1.585000, 
441,220500,-8.890000,-10.461000,0.000000,0.000000,0.000000,-1.570000, 
444,222000,-8.907000,-11.599000,0.000000,0.000000,0.000000,-1.609000, 
447,223500,-8.981000,-12.728000,0.000000,0.000000,0.000000,-1.657000, 
450,225000,-9.101000,-13.849000,0.000000,0.000000,0.000000,-1.715000, 
453,226500,-9.285000,-14.959000,0.000000,0.000000,0.000000,-1.702000, 
456,228000,-9.358000,-16.087000,0.000000,0.000000,0.000000,-1.592000, 
459,229500,-9.383000,-17.209999,0.000000,0.000000,0.000000,-1.603000, 
462,231000,-9.443000,-18.337999,0.000000,0.000000,0.000000,-1.626000, 
465,232500,-9.468000,-19.471001,0.000000,0.000000,0.000000,-1.553000, 
468,234000,-9.397000,-20.600000,0.000000,0.000000,0.000000,-1.440000, 
471,235500,-9.224000,-21.724001,0.000000,0.000000,0.000000,-1.406000, 
474,237000,-9.037000,-22.844999,0.000000,0.000000,0.000000,-1.408000, 
477,238500,-8.837000,-23.973000,0.000000,0.000000,0.000000,-1.378000, 
480,240000,-8.557000,-25.097000,0.000000,0.000000,0.000000,-1.252000, 
483,241500,-8.128000,-26.153999,0.000000,0.000000,0.000000,-1.140000, 
486,243000,-7.626000,-27.177999,0.000000,0.000000,0.000000,-1.082000, 
489,244500,-7.019000,-28.143000,0.000000,0.000000,0.000000,-0.918000, 
492,246000,-6.301000,-29.032000,0.000000,0.000000,0.000000,-0.851000, 
495,247500,-5.487000,-29.844999,0.000000,0.000000,0.000000,-0.699000, 
498,249000,-4.542000,-30.500000,0.000000,0.000000,0.000000,-0.542000, 
501,250500,-3.535000,-31.073000,0.000000,0.000000,0.000000,-0.495000, 
504,252000,-2.521000,-31.634001,0.000000,0.000000,0.000000,-0.513000, 
507,253500,-1.494000,-32.173000,0.000000,0.000000,0.000000,-0.470000, 
510,255000,-0.461000,-32.693001,0.000000,0.000000,0.000000,-0.455000, 
